食物,热量,链接
鸭腿，又叫鸭肉,热量：282 大卡(每100克),http://www.boohee.com/shiwu/fdbc2fc8
烤鸡，又叫吊烧鸡,热量：265 大卡(每100克),http://www.boohee.com/shiwu/kaoji
鸡蛋黄，又叫蛋黄,热量：328 大卡(每100克),http://www.boohee.com/shiwu/jidanhuang
牛奶，又叫纯牛奶、牛乳、全脂牛奶,热量：66 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_junzhi
无糖全脂拿铁，又叫拿铁咖啡、拿铁（全脂，无糖），热拿铁,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/fdbb1893
酸奶,热量：70 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_junzhi
脱脂牛奶，又叫脱脂奶,热量：33 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_tuozhi_pamalate
蒙牛 金典纯牛奶，又叫蒙牛袋装高钙牛奶,热量：74 大卡(每100毫升),http://www.boohee.com/shiwu/mengniugaogainiunai
德亚 脱脂牛奶，又叫德亚 脱脂奶、德亚 脱脂纯牛奶、德亚 纯牛奶,热量：35 大卡(每100毫升),http://www.boohee.com/shiwu/fd8f3e4b
光明 纯牛奶，又叫光明牛奶,热量：66 大卡(每100毫升),http://www.boohee.com/shiwu/fded1a79
伊利 金典纯牛奶，又叫伊利 金典  纯牛奶,热量：74 大卡(每100毫升),http://www.boohee.com/shiwu/fd4ccfe4
奶酪，又叫乳酪、芝士、起司、计司,热量：328 大卡(每100克),http://www.boohee.com/shiwu/nailao
蒙牛 不添加蔗糖风味酸奶，又叫蒙牛木糖醇酸奶,热量：65 大卡(每100克),http://www.boohee.com/shiwu/mengniusuanniunaimutangchun
酸奶(调味),热量：88 大卡(每100毫升),http://www.boohee.com/shiwu/suannai_diaowei
光明 优倍 高品质鲜牛奶巴氏杀菌乳946ml，又叫光明 优倍高品质鲜牛奶,热量：75 大卡(每100毫升),http://www.boohee.com/shiwu/fd962a6c
低脂牛奶，又叫低脂奶 脱脂奶,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/niuru_bufentuozhi_pamalate
脱脂奶粉,热量：361 大卡(每100克),http://www.boohee.com/shiwu/tuozhinaifen
全脂牛奶粉,热量：478 大卡(每100克),http://www.boohee.com/shiwu/quanzhiniunaifen
蒙牛特仑苏 纯牛奶,热量：74 大卡(每100毫升),http://www.boohee.com/shiwu/fdd7d3fd
君乐宝 简醇 0添加蔗糖 风味酸牛奶,热量：69 大卡(每100克),http://www.boohee.com/shiwu/fdcc3747
百吉福 芝士片,热量：282 大卡(每100克),http://www.boohee.com/shiwu/faguojibaifuzhishipianjiatingzhuang
法国百吉福 低脂芝士片，又叫法国百吉福低脂芝士片,热量：195 大卡(每100克),http://www.boohee.com/shiwu/faguobaijifudizhizhishipian
伊利 高钙低脂，又叫伊利  高钙低脂奶、伊利 高钙低脂奶 1L,热量：43 大卡(每100毫升),http://www.boohee.com/shiwu/fd1cc888
Dempster‘s dempster's  墨西哥玉米卷饼,热量：265 大卡(每100克),http://www.boohee.com/shiwu/dempsterhishihimoxigeyumijuanb
地扪 甜玉米羹，又叫 Del Monte 甜玉米羹,热量：48 大卡(每100克),http://www.boohee.com/shiwu/dimentianyumigeng
雀巢 玉米片，又叫Nestle 玉米片,热量：380 大卡(每100克),http://www.boohee.com/shiwu/quechaoyumipian3
得众 玉米粥,热量：362 大卡(每100克),http://www.boohee.com/shiwu/dezhongyumizhou
Crispix 早餐谷物,热量：367 大卡(每100克),http://www.boohee.com/shiwu/Crispixzaocanguwu
唐纳兹 玉米片(免煮，即冲即食),热量：344 大卡(每100克),http://www.boohee.com/shiwu/tangnaziyumipian_mianzhu_jicho
BEACH FLOWER 玉米粒(罐装),热量：57 大卡(每100克),http://www.boohee.com/shiwu/yumili_guanzhuang
シャキッ玉米罐头,热量：84 大卡(每100克),http://www.boohee.com/shiwu/hihihihiyumiguantou
Birds Eye 玉米粒,热量：84 大卡(每100克),http://www.boohee.com/shiwu/BirdsEyeyumili
NATCO 玉米面,热量：375 大卡(每100克),http://www.boohee.com/shiwu/NATCOyumimian
蒸红薯，又叫蒸地瓜、蒸红薯,热量：65 大卡(每100克),http://www.boohee.com/shiwu/zhenghongshu
